Commodity,Variety_Count,Varieties
Kabuli Chana (Chickpeas-White),11,"Bitkey, Dollar Gram, Dollar Gram-Organic, Double Dollar Chana, Kabul, Kabul Extra bold, Kabul Small, Kabuli Chana (Chickpeas-white), Other, Russian, White (whole)"
Kacholam,2,"Kacholam, Other"
Kakada,2,"Kakada, Other"
Kalmegh,1,Kalmegh
Kankambra,2,"Kankambra, Other"
Karamani,2,"Karamani, Other"
Karbuja (Musk Melon),2,"Karbhuja, Other"
Kartali (Kantola),2,"Kartali (Kantola), Other"
Kharif Mash,1,Other
Khoya,5,"Chaina, Danedar, Dhap, Other, Pindi"
Kinnow,2,"Kinnow, Other"
Knool Khol,2,"Knool Khol, Other"
Kodo Millet (Varagu),4,"Kondo, Kondo-Organic, Other, Varagu"
Kuchur,1,Other
Kulthi (Horse Gram),7,"Fine, Horse Gram, Horse Gram Dal (Split), Horse gram (Whole), Medium, Other, Small"
Kutki,2,"Kutki, Kutki-Organic"
Ladies Finger,1,Ladies Finger
Lak (Teora),6,"Lak (Whole), Lakdal (Split), Lakh, Other, Tivra-Organic, Tiwada"
Leafy Vegetable,2,"Leafy Vegetables, Other"
Lemon,3,"Lemon, Lemon-Organic, Other"
Lentil (Masur)(Whole),6,"Kala Masoor New, Local, Masoor Gola, Masur Dal, Organic, Other"
Lilly,2,"Lily, Other"
Lime,2,"Lime, Other"
Linseed,5,"Flaxseed, LC-185, Linseed, Linseed-Organic, Other"
Lint,3,"D.C.H., Jaydhar, Other"
Litchi,2,"Litchi, Other"
Little gourd (Kundru),2,"Little gourd (Kundru), Other"
Long Melon (Kakri),2,"Long Melon (Kakri), Other"
Lotus,1,Other
Lotus Sticks,2,"Lotus Sticks, Other"
Lukad,2,"Lukad, Other"
Mace,2,"Mace, Other"
Mahedi,2,"Mahedi, Other"
Mahua,7,"Gulli, Mahua, Mahua Flower, Mahua Seed / Bunch, Organic, Other, Toli"
Mahua Seed (Hippe seed),2,"Mahua Seed, Other"
Maida Atta,2,"Maida Atta, Other"
Maize,36,"Deshi Red, Deshi White, Fine, Gajjar, H.Y.V., H.Y.V.(White), Hybrid, Hybrid Red (Cattle Feed), Hybrid Sartaj, Hybrid Yellow (Cattle Feed), Hybrid/Local, Jawari, Kesari, Local, Maize/Corn-Organic, Medium, Megha, Navjot, New Rajasthani, Other, Paras, Partap, Pearl, Popcorn, Poultry Feed (Ex Gujarat), Prakash, Pratap-1, Pro Agro 4212, Punjab Sathi-1, Red, Sweet Corn (For Biscuits), U.P. (Gajjar) New, Vijaya, White (SAFED), White Local, Yellow"
Mango,17,"Amrapali, Badami, Chausa, Dinga, Dusheri, Fazli, Hapus (Alphaso), Keshar, Langra, Malgoa, Neelam, Other, Raspuri, Safeda, Saroli, Surkha, Totapuri"
Mango (Raw-Ripe),2,"Mango - Raw-Ripe, Other"
Maragensu,2,"Maragenasu, Other"
Marasebu,2,"Marasebu, Other"
Marget,2,"Marget, Other"
Marigold (Calcutta),3,"Marigold (Calcutta), Marigold-Organic, Other"
Marigold (loose),2,"Marigold (Loose), Other"
Mash,1,Other
Mashrooms,2,"Mashrooms, Other"
Masur Dal,4,"Kala Masoor New, Masoor Gola, Masur Dal, Other"
Mataki,4,"Mataki (W), Mataki (W-S), Mataki Dal, Other"
Methi (Leaves),3,"Fenugreek-Organic, Methi, Other"
Methi Seeds,6,"Best, Chalu, Fenugreek seed -Organic, Medium, Methiseeds, Other"
Millets,2,"Millets, Other"
Mint (Pudina),2,"Mint (Pudina), Other"
Moath Dal,3,"Moath (W), Moath Dal, Other"
Mousambi (Sweet Lime),4,"Mosambi-Organic, Mousambi, Other, Sweet Lime-Organic"
Muesli,2,"Muesli, Safed Musli"
Muleti,2,"Mulethi-Organic, Muleti"
Mustard,12,"Big 100 Kg, Laha (Sarsib), Lohi Black, Mustard, Mustard-Organic, Other, RLM-619, Rai UP, Sarson (Black), Small 100 Kg, Tiria, Yellow (Black)"
Mustard Oil,2,"Mustard Oil, Other"
Myrobolan (Harad),2,"Myrobolan, Other"
Nearle Hannu,2,"Nerle Hannu, Other"
Neem Seed,5,"Neem, Neem Seed, Neem Seeds-Organic, Neem leaves, Other"
Nelli Kai,1,Other
Niger Seed (Ramtil),3,"Niger Seed, Other, Ramatilli"
Nutmeg,2,"Nutmeg, Other"
Onion,26,"1st Sort, 2nd Sort, Bangalore-Samall, Beelary-Red, Bellary, Big, Bombay (U.P.), Dry F.A.Q., Hybrid, Local, Medium, Nasik, New Pune, Onion, Onion-Organic, Other, Pole, Puna, Pusa-Red, Red, Small, Small - I, Small No. II, Telagi, Tripur, White"
Onion Green,2,"Onion Green, Other"
Orange,9,"Darjeeling, Inferior, Medium, NC, Nagpuri, Orange, Orange-Organic, Other, Sikkim Mandrin"
Orchid,2,"Orchid, Other"
Other Pulses,1,Other
Other green and fresh vegetables,3,"Other, Other green and fresh vegetables, Other green and fresh vegetables-Organic"
Ox,2,"Other, Ox"
Paddy (Basmati),6,"1121, Basmati, Basmati 1509, Other, Sugandha, SuperFine (Basmati)"
Paddy (Common),71,"1001, 1121, ADT 37, ADT 38, ADT 39, AST 16, B P T, Basmati, Basmati 1509, Common, D.B., DP, Dhan, Dubaraj, Fine, G. R. 11, HMT, Hansa, Hassan Dappa, I.R. 36, I.R. 49, I.R. 64, I.R. 8, I.R.-64, Jaya, Jeerashankar, Kaalimoonch, Kalanamak, Khadwan, Kranti, Kshatriya, MTU-1001, MTU-1008, MTU-1010, MTU-1156, Mahamaya, Masuri, Nellore Sanna, Om 3, Other, PY. 03, Paddy, Paddy Coarse, Paddy Dappa, Paddy Jyoti, Paddy Kaddi, Paddy Malnad gidda, Paddy Medium, Paddy fine, Paddy-Organic, Padma, Pommani, Ponni, Puspa (MR 301), RB Gold, Rajahamsa, Red, Samba Masuri, Sambar, Sanna Bhatta, Sarvati, Shriram, Sinna Ponni, Sona, Sona Mahsuri, Sugandha, Super Ponni, SuperFine (Basmati), Swarna Masuri (New), Swarna Masuri (OLD), White Ponni"
Paddy (Dhan)(Basmati),6,"1121, Basmati 1509, Basumathi, Other, Sugandha, SuperFine (Basmati)"
